brand,model,price,fuel_type,color
porsche,cayenne turbo,3500000,petrol,blue
toyota,innova gx 2.4 at 7 str,2425000,diesel,black
toyota,fortuner 3.0 mt,750000,diesel,white
audi,q7 35 tdi premium + sunroof,2200000,diesel,white
maruti suzuki,wagon r lxi 1.0 cng [2019-2020],520000,cng,white
maruti suzuki,alto vxi (o),390000,petrol,silver
maruti suzuki,ciaz vxi (o),540000,petrol,gold
maruti suzuki,swift vdi amt [2018-2019],699000,diesel,red
hyundai,verna fluidic 1.6 crdi sx,484999,diesel,white
mercedes-benz,c-class c 43 amg,7500000,petrol,red
mercedes-benz,e-class e250 cdi blueefficiency,850000,diesel,white
tata,nexon xza plus petrol,1085000,petrol,red
maruti suzuki,alto 800 vxi,319000,petrol,red
mahindra,xuv500 w8,549000,diesel,silver
tata,harrier xz [2019-2020],1725000,diesel,white
honda,mobilio s diesel,475000,diesel,white
tata,punch creative ira pack mt,890000,petrol,white
hyundai,grand i10 magna 1.2 kappa vtvt [2017-2020],445000,petrol,grey
honda,city v,1060000,petrol,maroon
maruti suzuki,baleno alpha 1.3,690000,diesel,orange
jaguar,f-pace prestige,4200000,diesel,blue
land rover,range rover sport se 2.0 petrol,12500000,petrol,white
toyota,fortuner 3.0 4x4 at,1750000,diesel,black
renault,kwid 1.0 rxt edition,395000,petrol,blue
bmw,x1 sdrive20d expedition,2790000,diesel,white
audi,q3 35 tdi quattro premium plus,2475000,diesel,red
maruti suzuki,wagon r lxi minor,145000,petrol,red
hyundai,elite i20 asta 1.2 at,750000,petrol,red
mahindra,xuv500 w10,950000,diesel,white
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],569000,petrol,grey
maruti suzuki,swift dzire vxi,470000,petrol,white
porsche,cayenne diesel,5350000,diesel,white
nissan,terrano xl d plus,450000,diesel,silver
renault,kwid 1.0 rxt [2016-2019],299000,petrol,brown
hyundai,creta sx (o) 1.4 turbo 7 dct dual tone [2022-2022],1875000,petrol,black
mahindra,thar lx 4-str hard top diesel at,1825000,diesel,black
land rover,discovery sport hse 7-seater,4459000,diesel,white
toyota,glanza g cvt,790000,petrol,red
hyundai,creta 1.6 sx plus at petrol,1095000,petrol,red
toyota,innova 2.4 g 7 str [2016-2017],1950000,diesel,grey
volkswagen,polo gt tsi,525000,petrol,grey
isuzu,mu-x 4x2,2100000,diesel,white
maruti suzuki,alto vxi,270000,petrol,silver
toyota,corolla altis g at petrol,894999,petrol,white
hyundai,i10 sportz 1.2 at kappa2,335000,petrol,grey
tata,hexa xe 4x2 7 str,1000000,diesel,white
hyundai,i10 sportz 1.2,220000,petrol,gold
hyundai,creta 1.6 sx plus at petrol,960000,petrol,red
mercedes-benz,gls 350 d,7200000,diesel,white
audi,q3 2.0 tdi quattro premium plus,1300000,diesel,gold
volkswagen,polo comfortline 1.2l (p),375000,petrol,red
jaguar,xe prestige diesel,3299000,diesel,blue
audi,q3 35 tdi premium + sunroof,1798999,diesel,white
hyundai,verna fluidic 1.6 vtvt sx opt,545000,petrol,red
hyundai,venue sx 1.0 turbo imt,1085000,petrol,blue
maruti suzuki,vitara brezza vdi,725000,diesel,white
bmw,x3 xdrive20d,1090000,diesel,silver
honda,wr-v vx mt petrol,900000,petrol,white
bmw,5-series 520d luxury line [2017-2019],3400000,diesel,white
honda,amaze 1.5 s i-dtec,295000,diesel,bronze
tata,harrier xza plus dual tone,2251000,diesel,white
porsche,911 carrera 4,9300000,petrol,blue
maruti suzuki,wagon r lxi cng (o),430000,cng,brown
maruti suzuki,ciaz delta 1.3 hybrid,600000,diesel,brown
hyundai,tucson gl 2wd at petrol,1595000,petrol,blue
hyundai,i20 sportz 1.2,375000,petrol,white
volvo,v40 d3 kinetic,1200000,diesel,white
toyota,fortuner 3.0 4x2 at,1525000,diesel,white
mercedes-benz,c-class c 200 avantgarde,2675000,petrol,silver
honda,jazz v at petrol,545000,petrol,white
mercedes-benz,s-class s 350d [2018-2020],7900000,diesel,white
honda,jazz s,195000,petrol,silver
bmw,3-series 320d luxury edition,4550000,diesel,white
land rover,evoque hse dynamic,2499000,diesel,gold
hyundai,venue sx 1.5 crdi,1097000,diesel,white
volkswagen,polo gt tsi,1095000,petrol,red
maruti suzuki,wagon r lxi cng,325000,cng,white
mahindra,scorpio s11 4wd 7 str,1375000,diesel,black
maruti suzuki,swift vxi,745000,petrol,white
toyota,innova 2.4 vx 7 str [2016-2020],2175000,diesel,bronze
jeep,compass limited (o) 1.4 petrol at [2017-2020],1250000,petrol,white
maruti suzuki,swift vdi,500000,diesel,grey
honda,wr-v s mt petrol,625000,petrol,brown
honda,city 1.5 s mt,250000,petrol,silver
volkswagen,vento tsi,650000,petrol,white
honda,brio s mt,310000,petrol,brown
renault,duster rxl petrol,600000,petrol,black
ford,fiesta style diesel [2011-2014],295000,diesel,maroon
mahindra,xuv500 w8,484999,diesel,grey
bmw,5-series 530i sport line,4250000,petrol,blue
tata,safari 2.2 ex 4x2,375000,diesel,black
kia,seltos gtx plus at 1.4 [2019-2020],1625000,petrol,red
porsche,cayenne platinum edition diesel,5350000,diesel,silver
bmw,x5 xdrive30d xline,4250000,diesel,white
ford,ecosport trend 1.5 tdci,480000,diesel,white
hyundai,grand i10 nios magna 1.2 kappa vtvt,590000,petrol,white
hyundai,elite i20 sportz 1.4,561000,diesel,silver
toyota,corolla altis 1.8 g,725000,petrol,grey
hyundai,elantra 1.8 sx mt,645000,petrol,white
audi,q3 35 tdi premium + sunroof,1695000,diesel,white
maruti suzuki,swift lxi (o) [2014-2017],450000,petrol,white
mahindra,xuv500 w10,1375000,diesel,black
mahindra,thar ax 4-str convertible petrol mt,1700000,petrol,red
maruti suzuki,swift vxi [2014-2017],525000,petrol,red
maruti suzuki,dzire vdi,590000,diesel,grey
toyota,fortuner 3.0 4x2 at,1495000,diesel,white
bmw,5-series 520d m sport,3300000,diesel,blue
honda,amaze 1.5 sx i-dtec,385000,diesel,white
maruti suzuki,wagon r vxi+,535000,petrol,silver
maruti suzuki,vitara brezza zdi plus,875000,diesel,white
maruti suzuki,swift dzire lxi,295000,petrol,grey
hyundai,creta sx 1.6 crdi (o),969999,diesel,black
honda,city zx cvt petrol,1700000,petrol,white
hyundai,tucson gls 2wd at petrol,1789999,petrol,black
toyota,innova 2.7 vx 7 str [2016-2020],1964999,petrol,silver
audi,tt 2.0 tfsi quattro,4000000,petrol,white
tata,tiago revotron xta [2017-2019],484999,petrol,blue
maruti suzuki,swift vxi [2014-2017],580000,petrol,grey
honda,city e [2013-2016],450000,petrol,white
maruti suzuki,alto 800 vxi (airbag),355000,petrol,white
audi,q3 35 tdi premium + sunroof,2375000,diesel,blue
mercedes-benz,c-class cabriolet c 300,6500000,petrol,white
tata,nexon xz plus dark edition,1050000,petrol,black
ford,ecosport ambiente 1.5l tdci,445000,diesel,silver
honda,jazz sv petrol,495000,petrol,brown
hyundai,i10 sportz 1.2 kappa2,275000,petrol,grey
honda,amaze 1.2 vx at i-vtec,465000,petrol,silver
jeep,compass limited (o) 2.0 diesel [2017-2020],1050000,diesel,black
mercedes-benz,c-class c 200 progressive [2018-2020],4900000,petrol,white
hyundai,grand i10 nios sportz 1.2 kappa vtvt cng,695000,cng,green
toyota,fortuner 2.8 4x2 at [2016-2020],3210000,diesel,white
honda,city 1.5 s mt,269000,petrol,white
hyundai,xcent e plus crdi,445000,diesel,white
land rover,evoque se r-dynamic,5950000,diesel,beige
bmw,x3 xdrive 20d luxury line [2018-2020],3800000,diesel,blue
hyundai,creta 1.6 sx plus at petrol,1000000,petrol,white
mahindra,scorpio s11 4wd 7 str,1490000,diesel,white
mg,astor sharp ex 1.5 mt,1550000,petrol,orange
toyota,etios liva vd dual tone,484999,diesel,white
honda,city sv diesel,425000,diesel,white
mahindra,scorpio s10,1150000,diesel,silver
skoda,superb l&k tsi at,3195000,petrol,blue
hyundai,i20 active 1.4 sx,725000,diesel,white
mercedes-benz,m-class ml 350 cdi,2450000,diesel,white
maruti suzuki,ciaz zeta 1.4 at,741000,petrol,blue
mercedes-benz,e-class e 220d exclusive [2019-2019],7350000,diesel,grey
mahindra,thar ax 6-str soft top diesel mt,1550000,diesel,black
honda,city s diesel,645000,diesel,white
honda,city sv diesel,550000,diesel,silver
maruti suzuki,baleno alpha 1.2 at,595000,petrol,blue
volvo,v40 cross country d3,1595000,diesel,blue
maruti suzuki,celerio x zxi amt [2017-2019],500000,petrol,orange
maruti suzuki,wagon r lxi abs,345000,petrol,white
maruti suzuki,wagon r vxi+,299000,petrol,white
maruti suzuki,wagon r lxi minor,160000,petrol,silver
maruti suzuki,baleno delta 1.2 at,570000,petrol,white
renault,kiger rxt turbo cvt,800000,petrol,white
hyundai,eon 1.0 kappa magna + [2014-2016],315000,petrol,grey
mercedes-benz,s-class 350 l,1850000,petrol,black
maruti suzuki,s-presso vxi cng,610000,cng,white
toyota,innova 2.4 vx 8 str [2016-2020],1995000,diesel,white
kia,seltos gtx plus at 1.5 diesel [2019-2020],1875000,diesel,grey
hyundai,creta sx (o) 1.5 petrol cvt [2020-2022],1748999,petrol,white
skoda,rapid ambition 1.6 tdi cr mt,640000,diesel,grey
hyundai,elite i20 asta 1.2 (o) [2016],779000,petrol,blue
honda,city zx cvt petrol,1450000,petrol,brown
tata,nexon xza plus petrol,890000,petrol,orange
maruti suzuki,baleno zeta 1.2,625000,petrol,red
mercedes-benz,gls 350 d,8500000,diesel,white
audi,rs5 4.2 coupe,2900000,petrol,red
mercedes-benz,glc 220 d progressive,4550000,diesel,grey
skoda,superb l&k tdi at,2500000,diesel,brown
maruti suzuki,alto 800 lxi cng,249000,cng + cng,white
ford,figo duratec petrol titanium 1.2,270000,petrol,grey
maruti suzuki,dzire vxi amt,825000,petrol,blue
maruti suzuki,celerio zxi (o) amt [2019-2020],425000,petrol,white
hyundai,grand i10 sportz u2 1.2 crdi,459999,diesel,grey
mercedes-benz,e-class e250 elegance,980000,petrol,white
renault,duster rxl petrol,789000,petrol,red
bmw,3-series 330i m sport edition,5100000,petrol,white
mahindra,scorpio s10,775000,diesel,white
hyundai,creta 1.6 sx plus at petrol,1400000,petrol,white
maruti suzuki,ertiga vdi,770000,diesel,gold
hyundai,grand i10 magna 1.2 kappa vtvt [2017-2020],450000,petrol,maroon
honda,city sv,840000,petrol,white
mercedes-benz,s-class maybach s 560,18500000,petrol,black
land rover,evoque hse dynamic,4000000,diesel,white
mahindra,xuv500 w8 1.99 [2016-2017],690000,diesel,silver
mercedes-benz,cla 200 d urban sport,2800000,diesel,red
hyundai,xcent sx 1.1 crdi,525000,diesel,silver
mercedes-benz,e-class e 220d exclusive [2019-2019],7780000,diesel,black
tata,hexa xta 4x2 7 str,1200000,diesel,blue
ford,ecosport titanium 1.5l tdci,620000,diesel,brown
jaguar,f-pace prestige,5200000,diesel,black
mercedes-benz,cla 200 cdi sport,1998999,diesel,silver
toyota,innova 2.4 zx at 7 str,2725000,diesel,bronze
maruti suzuki,swift vxi [2014-2017],590000,petrol,blue
mini,countryman cooper d,1489000,diesel,purple
maruti suzuki,dzire zdi plus amt,685000,diesel,white
mahindra,scorpio s3 2wd 7 str,1121000,diesel,white
maruti suzuki,wagon r vxi,545000,petrol,white
audi,q3 2.0 tdi quattro premium,1350000,diesel,black
maruti suzuki,xl6 alpha mt petrol,1299000,petrol,white
ford,aspire titanium1.5 tdci,450000,diesel,silver
porsche,718 cayman [2017-2020],9000000,petrol,red
maruti suzuki,swift vxi [2014-2017],550000,petrol,grey
bmw,3-series 320d luxury line,4390000,diesel,white
maruti suzuki,wagon r lxi cng (o),445000,cng,white
hyundai,verna 1.6 vtvt s,495000,petrol,red
hyundai,eon 1.0 kappa magna airbag,360000,petrol,white
maruti suzuki,grand vitara 2015 2.0 at,345000,petrol,black
hyundai,grand i10 asta at 1.2 kappa vtvt [2013-2016],565000,petrol,silver
mercedes-benz,gle 300d 4matic lwb,9390000,diesel,white
mahindra,tuv300 t8 amt mhawk100,615000,diesel,black
honda,city v diesel,525000,diesel,grey
bmw,x1 sdrive20d xline,2650000,diesel,blue
bmw,x1 sdrive20d xline,3785000,diesel,blue
audi,a6 2.0 tdi premium,1175000,diesel,blue
mercedes-benz,glc 220d 4matic progressive,6400000,diesel,white
bmw,3-series 320d sport line,1450000,diesel,blue
honda,city vx cvt petrol,1390000,petrol,brown
ferrari,488 gtb,35000000,petrol,black
volkswagen,tiguan highline tdi,2990000,diesel,white
land rover,evoque pure sd4,2150000,diesel,white
mercedes-benz,gle 43 4matic [2017-2019],8500000,petrol,black
maruti suzuki,wagon r lxi cng,400000,cng,red
tata,nano base,49000,petrol,white
maruti suzuki,swift vdi,610000,diesel,silver
hyundai,creta sx 1.6 at petrol,1075000,petrol,white
mercedes-benz,e-class e 220 d avantgarde,7500000,diesel,white
toyota,corolla altis g at petrol,1321000,petrol,gold
maruti suzuki,s-cross zeta 1.3,950000,diesel,white
maruti suzuki,baleno zeta 1.2,825000,petrol,blue
mitsubishi,pajero 2.5 mt,1300000,diesel,blue
maruti suzuki,swift zxi,465000,petrol,red
maruti suzuki,swift dzire vdi,475000,diesel,grey
audi,q3 35 tdi premium,1775000,diesel,silver
volkswagen,vento highline plus 1.2 (p) at 16 alloy,825000,petrol,brown
ford,endeavour titanium 3.2 4x4 at,3450000,diesel,silver
tata,tiago revotron xt [2016-2019],379000,petrol,silver
datsun,go d,240000,petrol,white
kia,seltos htk plus 1.5 [2019-2020],1525000,petrol,black
bmw,3-series 320d sport line,1400000,diesel,brown
mercedes-benz,gla 200 d sport,2450000,diesel,gold
mercedes-benz,gla 200 cdi sport,1789999,diesel,white
mercedes-benz,c-class c 220d progressive [2018-2019],4275000,diesel,blue
hyundai,elite i20 sportz 1.2 mt,775000,petrol,white
maruti suzuki,estilo vxi bs-iv,229999,petrol,white
hyundai,eon era +,300000,petrol,white
maruti suzuki,alto vxi (o) [2014-2019],160000,petrol,silver
mercedes-benz,gle 300d 4matic lwb,8300000,diesel,white
audi,q3 35 tdi premium + sunroof,1685000,diesel,blue
hyundai,i10 sportz 1.2,270000,petrol,grey
maruti suzuki,alto 800 lxi,210000,petrol,red
hyundai,elite i20 asta 1.2,625000,petrol,silver
bmw,7-series 730ld m sport,6900000,diesel,black
kia,seltos gtx plus at 1.4 [2019-2020],1490000,petrol,white
mahindra,xuv500 w7 [2018-2020],1095000,diesel,black
ford,endeavour 3.0l 4x4 at,850000,diesel,black
hyundai,tucson 2wd at gls diesel,1600000,diesel,white
toyota,etios v,265000,petrol,black
volkswagen,vento comfortline petrol,360000,petrol,bronze
toyota,fortuner 3.0 4x2 mt,1485000,diesel,white
maruti suzuki,ciaz alpha 1.4 mt,800000,petrol,white
maruti suzuki,vitara brezza vdi,710000,diesel,white
maruti suzuki,s-cross alpha 1.6,710000,diesel,blue
volkswagen,polo highline1.0l (p),720000,petrol,grey
honda,amaze 1.2 s i-vtec,395000,petrol,brown
audi,a4 35 tdi technology,2799000,diesel,white
ford,ecosport trend 1.5 ti-vct,455000,petrol,white
honda,city vx (o) mt,690000,petrol,white
mercedes-benz,gls 400d 4matic,13000000,diesel,blue
tata,harrier xza plus dark edition,1995000,diesel,black
bmw,5-series 520d luxury line,1750000,diesel,white
bmw,x1 sdrive20d xline,2900000,diesel,white
